time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year
2020-02-12,75.88,76.03,75.4,75.9,275,0,0,69.88799999999999,61.36215,70.07244538852953,61.36215,74.34420749877027,73.07700429007573,73.4995,75.9752421109658,71.0237578890342,71.60702342389402,73.62833333333334,75.64964324277267,1.4655076076664102,1.4171272958057828,67.13,89.62555312832596,83.86750001862514,75.43,0.623094259578405,0.03978779840849711,2,2
2020-02-13,75.3,76.35,75.3,75.72,350,0,0,70.1926,61.4539,70.29391811839112,61.50501417910448,74.61936599901622,73.31727662734158,73.687,76.23786730348907,71.13613269651093,71.75002795130143,73.88666666666667,76.02330538203191,1.4935101343254615,1.4324038635097187,65.96,85.45902649414673,86.06857572566044,75.9,-0.2371541501976382,0.623094259578405,3,2
2020-02-14,75.81,76.03,75.36,75.99,342,0,0,70.5056,61.543499999999995,70.51729387845421,61.64914339125269,74.89349279921299,73.56025147940143,73.85900000000001,76.54056596040633,71.17743403959369,71.90161104738065,74.1475,76.39338895261933,1.5199678388665774,1.4499166585810905,66.9,88.7661379300463,87.95023918417299,75.72,0.3565768621236032,-0.2371541501976382,4,2
2020-02-18,75.8,76.56,75.62,75.96,400,0,0,70.8356,61.634049999999995,70.7307333342011,61.79153997442431,75.1067942393704,73.77841043581948,73.955,76.78876428095386,71.12123571904614,72.14066606120714,74.41166666666668,76.68266727212621,1.5209820764544588,1.4641297421557642,66.68,88.46862890795308,87.56459777738202,75.99,-0.039478878799847905,0.3565768621236032,1,2
2020-02-19,76.17,76.6,76.05,76.33,231,0,0,71.03359999999999,61.73015,70.9503124191344,61.936201268211136,75.35143539149632,74.01037312347225,74.0595,77.07585856622022,71.04314143377978,72.78672355220189,74.8025,76.8182764477981,1.5339592474825139,1.478095643221114,68.07,91.38837774525992,89.54104819441976,75.96,0.48709847288046504,-0.039478878799847905,2,2
2020-02-20,76.18,76.47,75.3,75.87,426,0,0,71.2102,61.8241,71.14324134387422,62.07484603171152,75.45514831319707,74.17943011224749,74.1385,77.25593660721596,71.02106339278403,72.86602989078767,74.92083333333333,76.975636775879,1.4899503729605215,1.4804665891689957,64.47,89.88927896300301,89.91542853873865,76.33,-0.6026464037730772,0.48709847288046504,3,2
2020-02-21,75.51,75.63,74.05,74.22,505,0,0,71.35,61.901450000000004,71.26389854607523,62.19569333487858,75.20811865055765,74.18311828386135,74.134,77.25069311931897,71.01730688068103,73.35012294613861,75.07916666666667,76.80821038719472,1.306867062460853,1.4457466838273674,53.53,78.70195337114062,86.65987002646784,75.87,-2.174772637406097,-0.6026464037730772,4,2
2020-02-24,70.97,71.83,70.56,71.09,531,0,0,71.42739999999999,61.958800000000004,71.25707899524875,62.28419389871063,74.38449492044613,73.90192571260123,74.0205,77.39623977077767,70.64476022922233,72.82200465892308,74.96916666666667,77.11632867441025,0.8988460407022814,1.3363665552023503,39.75,49.99488810158707,72.86204014524357,74.22,-4.217192131500935,-2.174772637406097,0,2
2020-02-25,71.72,71.86,69.12,69.41,850,0,0,71.4704,62.007650000000005,71.18464452484683,62.35509744200704,73.38959593635691,73.49356882963748,73.9065,77.71553281687227,70.09746718312772,71.46265706967631,74.60166666666666,77.74067626365701,0.43491109726521415,1.156075463614923,34.6,22.55376386017363,50.416868444300434,71.09,-2.3632015754677216,-4.217192131500935,1,2
2020-02-26,69.99,70.77,69.02,69.64,781,0,0,71.5142,62.0597,71.1240702297548,62.42758403462389,72.63967674908554,73.14324439057953,73.75750000000001,77.96814306252736,69.54685693747265,70.49254726259898,74.24666666666667,78.00078607073436,0.0848206305009569,0.9418244969921299,35.83,6.943753103248558,26.49746835500308,69.41,0.33136435672094233,-2.3632015754677216,2,2
