time,movement,predicted
2022-01-03,down,down
2022-01-04,down,down
2022-01-05,up,up
2022-01-06,down,down
2022-01-07,up,up
2022-01-10,up,up
2022-01-11,up,up
2022-01-12,down,down
2022-01-13,up,up
2022-01-14,down,down
2022-01-18,down,down
2022-01-19,down,down
2022-01-20,down,down
2022-01-21,down,down
2022-01-24,down,down
2022-01-25,up,up
2022-01-26,down,down
2022-01-27,up,up
2022-01-28,up,up
2022-01-31,up,up
2022-02-01,up,up
2022-02-02,down,down
2022-02-03,up,up
2022-02-04,up,up
2022-02-07,up,up
2022-02-08,up,up
2022-02-09,down,down
2022-02-10,down,down
2022-02-11,up,up
2022-02-14,up,up
2022-02-15,up,up
2022-02-16,down,down
2022-02-17,down,down
2022-02-18,down,down
2022-02-22,down,down
2022-02-23,up,up
2022-02-24,up,up
2022-02-25,up,up
2022-02-28,down,down
2022-03-01,up,up
2022-03-02,down,down
2022-03-03,down,down
2022-03-04,down,down
2022-03-07,up,up
2022-03-08,up,up
2022-03-09,down,down
2022-03-10,down,down
2022-03-11,down,down
2022-03-14,up,up
2022-03-15,up,up
2022-03-16,up,up
2022-03-17,up,up
2022-03-18,up,up
2022-03-21,down,down
2022-03-22,down,down
2022-03-23,up,up
2022-03-24,down,down
2022-03-25,up,up
2022-03-28,up,up
2022-03-29,down,down
2022-03-30,down,down
2022-03-31,down,down
2022-04-01,up,up
2022-04-04,down,down
2022-04-05,down,down
2022-04-06,down,down
2022-04-07,down,down
2022-04-08,down,down
2022-04-11,down,down
2022-04-12,up,up
2022-04-13,down,down
2022-04-14,up,up
2022-04-18,up,up
2022-04-19,down,down
2022-04-20,down,down
2022-04-21,down,down
2022-04-22,up,up
2022-04-25,down,down
2022-04-26,down,down
2022-04-27,up,up
2022-04-28,down,down
2022-04-29,up,up
2022-05-02,up,up
2022-05-03,up,up
2022-05-04,down,down
2022-05-05,down,down
2022-05-06,down,down
2022-05-09,up,up
2022-05-10,down,down
2022-05-11,down,down
2022-05-12,up,up
2022-05-13,down,down
2022-05-16,up,up
2022-05-17,down,down
2022-05-18,up,up
2022-05-19,down,down
2022-05-20,up,up
2022-05-23,down,down
2022-05-24,up,up
2022-05-25,up,up
2022-05-26,up,up
2022-05-27,down,down
2022-05-31,down,down
2022-06-01,up,up
2022-06-02,down,down
2022-06-03,up,up
2022-06-06,up,up
2022-06-07,down,down
2022-06-08,down,down
2022-06-09,down,down
2022-06-10,down,down
2022-06-13,up,up
2022-06-14,up,up
2022-06-15,down,down
2022-06-16,up,up
2022-06-17,up,up
2022-06-21,down,down
2022-06-22,down,down
2022-06-23,up,up
2022-06-24,down,down
2022-06-27,down,down
2022-06-28,down,down
2022-06-29,down,down
2022-06-30,down,down
2022-07-01,up,up
2022-07-05,up,up
2022-07-06,up,up
2022-07-07,down,down
2022-07-08,down,down
2022-07-11,down,down
2022-07-12,up,up
2022-07-13,up,up
2022-07-14,up,up
2022-07-15,up,up
2022-07-18,up,up
2022-07-19,up,up
2022-07-20,up,up
2022-07-21,down,down
2022-07-22,down,down
2022-07-25,down,down
2022-07-26,up,up
2022-07-27,up,up
2022-07-28,up,up
2022-07-29,up,up
2022-08-01,up,up
2022-08-02,up,up
2022-08-03,up,up
2022-08-04,down,down
2022-08-05,down,down
2022-08-08,down,down
2022-08-09,up,up
2022-08-10,down,down
2022-08-11,up,up
2022-08-12,up,up
2022-08-15,down,down
2022-08-16,down,down
2022-08-17,up,up
2022-08-18,down,down
2022-08-19,down,down
