time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year,movement
2021-08-27,344.47,344.47,337.33,340.53,10747,0,0,368.5834,362.8096,357.81012947329845,362.8096000000001,343.0218015024822,352.4339683805093,358.52700000000004,400.87544181312944,316.17855818687065,331.368836095078,343.40833333333336,355.4478305715887,-8.984940171167011,-7.183869979392309,39.78,13.738955714315589,12.89378734573321,340.48,0.0146851503759259,0.8112749452241497,4,8,up
2021-08-30,341.8,348.18,339.01,347.67,14412,0,0,368.1494,362.4051,357.41247733709065,362.6589572139304,343.9514412019858,352.00088034591755,356.967,398.4936599186596,315.4403400813404,333.5367600854478,342.1458333333333,350.75490658121885,-8.167604796783223,-7.380616942870493,45.26,23.146535699969764,16.529253871793948,340.53,2.0967315655008534,0.0146851503759259,0,8,down
2021-08-31,292.2,295.38,288.21,289.3,22723,0,0,366.445,361.8505,354.74139979445965,361.92901734115503,333.02115296158865,346.3008003144705,352.723,402.8121649361418,302.6338350638582,314.34042339312253,336.65333333333336,358.9662432735442,-12.090460502929432,-8.32258565488228,25.13,18.51972124199825,18.4684042187612,347.67,-16.788909022924038,2.0967315655008534,1,8,up
2021-09-01,293.14,299.4,290.02,290.85,18969,0,0,364.7235999999999,361.31090000000006,352.23585470448086,361.22176343726295,324.5869223692709,341.2598184677004,347.2325,399.1401537227413,295.3248462772586,303.31078445570694,331.94666666666666,360.5825488776264,-14.902493201443631,-9.638567164194551,26.07,14.559058917978868,18.741771953315624,289.3,0.5357760110611842,-16.788909022924038,2,9,up
2021-09-02,292.57,296.57,290.3,295.08,15250,0,0,363.1674,360.7807000000001,349.99444863763847,360.5636364378872,318.6855378954168,337.06165315245494,342.06550000000004,393.1297495196007,291.0012504803994,296.10978812007494,327.75083333333333,359.3918785465917,-16.598387843283035,-11.030531300012248,28.7,4.954387039409103,12.6777223997954,290.85,1.454357916451765,0.5357760110611842,3,9,up
2021-09-03,295.09,301.74,292.0,298.35,16068,0,0,361.6906,360.199,347.96917614204483,359.9445952793013,314.61843031633344,333.5424119567772,337.8115,388.5576932660968,287.06530673390324,291.0006070174736,324.2058333333333,357.411059649193,-17.47707010861842,-12.319839061733482,30.75,9.349649988172532,9.621031981853497,295.08,1.1081740544937049,1.454357916451765,4,9,up
2021-09-07,298.58,300.94,294.49,299.92,12963,0,0,359.9162,359.6274,346.0848947247097,359.3473356247809,311.6787442530668,330.4858290516156,333.6375,382.391760480496,284.88323951950395,287.0910570574576,321.5083333333333,355.92560960920906,-17.841085329509497,-13.424088315288689,31.77,13.806364772618062,9.370133933399892,298.35,0.52622758505112,1.1081740544937049,1,9,down
2021-09-08,298.62,299.46,290.02,293.43,13687,0,0,357.8896,358.89725,344.01999689236817,358.6914417379672,308.02899540245346,327.11711731965056,329.6995,378.0835479807144,281.31545201928566,282.41116909209103,317.88750000000005,353.36383090790906,-18.440686025882712,-14.427407857407491,29.82,13.013171810402902,12.05639552373116,299.92,-2.1639103761002976,0.52622758505112,2,9,up
2021-09-09,292.45,297.5,291.0,295.67,14401,0,0,356.0628,358.2243,342.12391858286355,358.0643627156989,305.5571963219628,324.2582884724096,326.5585,375.21418179565535,277.9028182043446,279.2133427740694,314.0891666666667,348.964990559264,-18.521618924455595,-15.246250070817114,31.39,11.7248341505625,12.84812357786115,293.43,0.763384793647548,-2.1639103761002976,3,9,up
2021-09-10,298.24,306.19,297.41,300.61,15554,0,0,354.3446,357.59085,340.49592177569247,357.49267751454767,304.56775705757025,322.10844406582686,323.44800000000004,370.35599701543526,276.5400029845648,277.64052980540123,310.8025,343.9644701945988,-17.979881236164204,-15.792976303886531,34.83,12.05653302567066,12.264846328878685,295.67,1.6707816146379395,0.763384793647548,4,9,down
2021-09-13,297.52,299.05,289.8,290.17,14700,0,0,352.374,356.82270000000005,338.5223562158614,356.8228001263432,301.6882056460562,319.2049491507517,320.196,366.86267221904825,273.5293277809518,275.0874007682895,306.8383333333333,338.5892658983771,-18.18336445774605,-16.27105393465844,31.26,10.489376021536447,11.423581065923196,300.61,-3.4729383586707074,1.6707816146379395,0,9,down
2021-09-14,290.4,291.52,280.92,281.56,15447,0,0,350.2314,355.87699999999995,336.28853832504336,356.0739165429965,297.6625645168449,315.78268104613795,316.9075,364.7177360901941,269.097263909806,272.57727596311315,301.92833333333334,331.2793907035536,-18.822408412458344,-16.781324830218423,28.65,7.181576400837732,9.909161816014942,290.17,-2.9672261088327545,-3.4729383586707074,1,9,down
