time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year
2021-08-27,344.47,344.47,337.33,340.53,10747,0,0,368.5834,362.8096,357.81012947329845,362.80960000000005,343.0218015024822,352.4339683805093,358.52700000000004,400.87544181312944,316.17855818687065,331.368836095078,343.40833333333336,355.4478305715887,-8.984940171167011,-7.183869979392309,39.78,13.738955714315589,12.89378734573321,340.48,0.014685150375925993,0.8112749452241497,4,8
2021-08-30,341.8,348.18,339.01,347.67,14412,0,0,368.1494,362.40509999999995,357.41247733709065,362.6589572139304,343.9514412019858,352.00088034591755,356.967,398.4936599186596,315.44034008134037,333.5367600854478,342.1458333333333,350.75490658121885,-8.167604796783223,-7.380616942870493,45.26,23.146535699969764,16.529253871793948,340.53,2.0967315655008534,0.014685150375925993,0,8
2021-08-31,292.2,295.38,288.21,289.3,22723,0,0,366.445,361.8505,354.74139979445965,361.92901734115503,333.02115296158865,346.3008003144705,352.723,402.8121649361418,302.6338350638582,314.34042339312253,336.65333333333336,358.9662432735442,-12.090460502929432,-8.32258565488228,25.13,18.51972124199825,18.468404218761197,347.67,-16.788909022924038,2.0967315655008534,1,8
2021-09-01,293.14,299.4,290.02,290.85,18969,0,0,364.7235999999999,361.31090000000006,352.23585470448086,361.22176343726295,324.58692236927095,341.2598184677004,347.23249999999996,399.14015372274133,295.3248462772586,303.31078445570694,331.94666666666666,360.5825488776264,-14.902493201443633,-9.638567164194551,26.07,14.559058917978868,18.741771953315624,289.3,0.5357760110611842,-16.788909022924038,2,9
2021-09-02,292.57,296.57,290.3,295.08,15250,0,0,363.1674,360.7807000000001,349.99444863763847,360.5636364378872,318.6855378954168,337.06165315245494,342.06550000000004,393.1297495196007,291.0012504803994,296.10978812007494,327.75083333333333,359.3918785465917,-16.598387843283035,-11.030531300012248,28.7,4.954387039409103,12.677722399795401,290.85,1.454357916451765,0.5357760110611842,3,9
2021-09-03,295.09,301.74,292.0,298.35,16068,0,0,361.69059999999996,360.199,347.96917614204483,359.9445952793013,314.61843031633344,333.5424119567772,337.8115,388.5576932660968,287.06530673390324,291.0006070174736,324.2058333333333,357.411059649193,-17.47707010861842,-12.319839061733482,30.75,9.349649988172532,9.621031981853497,295.08,1.1081740544937047,1.454357916451765,4,9
2021-09-07,298.58,300.94,294.49,299.92,12963,0,0,359.9162,359.62739999999997,346.0848947247097,359.34733562478095,311.6787442530668,330.4858290516156,333.6375,382.39176048049603,284.88323951950395,287.0910570574576,321.5083333333333,355.92560960920906,-17.841085329509497,-13.424088315288687,31.77,13.806364772618062,9.370133933399893,298.35,0.52622758505112,1.1081740544937047,1,9
2021-09-08,298.62,299.46,290.02,293.43,13687,0,0,357.8896,358.89725,344.01999689236817,358.6914417379672,308.02899540245346,327.11711731965056,329.6995,378.08354798071434,281.31545201928566,282.41116909209103,317.88750000000005,353.36383090790906,-18.440686025882712,-14.427407857407491,29.82,13.013171810402902,12.05639552373116,299.92,-2.1639103761002976,0.52622758505112,2,9
2021-09-09,292.45,297.5,291.0,295.67,14401,0,0,356.0628,358.2243,342.12391858286355,358.0643627156989,305.5571963219628,324.25828847240956,326.5585,375.21418179565535,277.9028182043446,279.2133427740694,314.0891666666667,348.964990559264,-18.521618924455595,-15.246250070817114,31.39,11.724834150562499,12.84812357786115,293.43,0.763384793647548,-2.1639103761002976,3,9
2021-09-10,298.24,306.19,297.41,300.61,15554,0,0,354.3446,357.59085,340.49592177569247,357.49267751454767,304.56775705757025,322.10844406582686,323.44800000000004,370.35599701543526,276.5400029845648,277.64052980540123,310.8025,343.9644701945988,-17.979881236164204,-15.792976303886533,34.83,12.05653302567066,12.264846328878683,295.67,1.6707816146379395,0.763384793647548,4,9
2021-09-13,297.52,299.05,289.8,290.17,14700,0,0,352.374,356.82270000000005,338.5223562158614,356.8228001263432,301.6882056460562,319.2049491507517,320.196,366.86267221904825,273.5293277809518,275.0874007682895,306.8383333333333,338.5892658983771,-18.183364457746052,-16.27105393465844,31.26,10.489376021536449,11.423581065923196,300.61,-3.4729383586707074,1.6707816146379395,0,9
2021-09-14,290.4,291.52,280.92,281.56,15447,0,0,350.2314,355.87699999999995,336.28853832504336,356.0739165429965,297.66256451684495,315.78268104613795,316.9075,364.7177360901941,269.097263909806,272.57727596311315,301.92833333333334,331.27939070355353,-18.822408412458344,-16.781324830218423,28.65,7.181576400837732,9.909161816014942,290.17,-2.9672261088327545,-3.4729383586707074,1,9
2021-09-15,280.83,282.94,277.0,279.0,15002,0,0,347.78839999999997,354.88034999999996,334.04192897896326,355.3070119007777,293.930051613476,312.4388009510345,313.586,362.2314348937298,264.94056510627024,271.87077206811665,296.80083333333334,321.73089459855004,-19.312800018999837,-17.28761986797471,27.9,2.048254394782698,6.573068939052288,281.56,-0.9092200596675704,-2.9672261088327545,2,9
2021-09-16,276.0,279.24,273.21,278.01,15016,0,0,345.47060000000005,354.23914999999994,331.8445984307686,354.53788740425256,290.7460412907808,309.3089099554859,310.442,359.7458341713919,261.1381658286081,279.7395343328867,290.99583333333334,302.25213233377997,-19.55589543701376,-17.741274981782517,27.6,3.2402243084091302,4.1566850346765145,279.0,-0.3548387096774186,-0.9092200596675704,3,9
2021-09-17,278.23,287.62,278.23,287.4,14189,0,0,343.5004,353.6131,330.101673002111,353.86984872361325,290.0768330326247,307.3171908686235,308.1975,357.40559562460345,258.98940437539653,279.50025971907377,290.8375,302.1747402809262,-18.774435773782386,-17.94790714018249,34.75,9.271020636684232,4.853166446625348,278.01,3.3775763461745933,-0.3548387096774186,4,9
2021-09-20,277.77,284.8,276.64,280.66,14681,0,0,341.4168,352.95045000000005,328.1627838647733,353.1413925174081,288.19346642609975,304.89380988056683,305.38649999999996,354.1405296898638,256.6324703101361,277.89155354489566,289.98833333333334,302.08511312177103,-18.48589118550956,-18.055503949247903,32.29,15.973193401071825,9.494812782055057,287.4,-2.345163535142647,3.3775763461745933,0,9
2021-09-21,279.53,280.96,275.0,277.55,14630,0,0,339.36820000000006,352.28824999999995,326.17796881125275,352.3892393580309,286.0647731408798,302.4080089823335,302.2015,349.467920755121,254.935079244879,275.65590026696543,288.5275,301.3990997330345,-18.29724922962049,-18.10385300532242,31.19,18.225503259723215,14.489905765826421,280.66,-1.1081023302216275,-2.345163535142647,1,9
2021-09-22,275.88,279.25,274.33,277.7,9255,0,0,337.35759999999993,351.63795000000005,324.2768719951252,351.6460628470058,284.3918185127039,300.1618263475759,299.08399999999995,344.1262270319767,254.04177296802314,274.04318506876575,286.8066666666667,299.5701482645676,-17.92897135273165,-18.068876674804265,31.31,16.45441681827379,16.884371159689604,277.55,0.05404431633939666,-1.1081023302216275,2,9
2021-09-23,278.56,280.19,275.71,275.86,10290,0,0,335.666,350.95910000000003,322.37817113257125,350.8919726694237,282.68545481016315,297.95256940688716,295.99,338.41080197261897,253.56919802738108,272.79804091233916,284.8016666666667,296.8052924209942,-17.582896419525525,-17.97168062374852,30.6,11.602991712148858,15.427637263381948,277.7,-0.6625855239467016,0.05404431633939666,3,9
