time,movement,predicted
2022-01-03,down,down
2022-01-04,up,up
2022-01-05,down,up
2022-01-06,up,up
2022-01-07,down,up
2022-01-10,down,down
2022-01-11,down,up
2022-01-12,up,up
2022-01-13,down,up
2022-01-14,down,up
2022-01-18,up,up
2022-01-19,down,up
2022-01-20,down,up
2022-01-21,up,up
2022-01-24,down,down
2022-01-25,down,down
2022-01-26,up,up
2022-01-27,up,up
2022-01-28,up,up
2022-01-31,up,down
2022-02-01,down,down
2022-02-03,down,up
2022-02-04,down,up
2022-02-07,up,up
2022-02-08,down,up
2022-02-09,down,up
2022-02-10,down,up
2022-02-11,down,up
2022-02-14,up,up
2022-02-15,down,up
2022-02-16,up,up
2022-02-17,down,up
2022-02-18,down,up
2022-02-22,down,down
2022-02-23,down,up
2022-02-24,up,up
2022-02-25,down,up
2022-02-28,up,down
2022-03-01,up,up
2022-03-02,up,up
2022-03-03,up,up
2022-03-04,down,up
2022-03-07,down,down
2022-03-08,up,up
2022-03-09,up,up
2022-03-10,down,up
2022-03-11,up,up
2022-03-14,up,up
2022-03-15,down,up
2022-03-16,down,up
2022-03-17,up,up
2022-03-18,down,up
2022-03-21,down,down
2022-03-22,down,up
2022-03-23,up,up
2022-03-24,up,up
2022-03-25,up,up
2022-03-28,up,down
2022-03-29,up,down
2022-03-30,down,up
2022-03-31,up,up
2022-04-01,up,up
2022-04-04,up,down
2022-04-05,up,down
2022-04-06,up,down
2022-04-07,up,down
2022-04-08,down,down
2022-04-11,down,down
2022-04-12,up,down
2022-04-13,down,down
2022-04-14,down,down
2022-04-18,up,down
2022-04-19,up,down
2022-04-20,up,down
2022-04-21,down,down
2022-04-22,up,down
2022-04-25,down,down
2022-04-26,down,down
2022-04-27,up,down
2022-04-28,down,up
2022-04-29,down,down
2022-05-02,up,down
2022-05-03,up,down
2022-05-04,down,down
2022-05-05,down,down
2022-05-06,up,down
2022-05-09,down,down
2022-05-10,down,down
2022-05-11,down,down
2022-05-12,up,down
2022-05-13,up,up
2022-05-16,down,down
2022-05-17,down,down
2022-05-18,down,down
2022-05-19,down,up
2022-05-20,up,up
2022-05-23,up,up
2022-05-24,down,up
2022-05-25,up,up
2022-05-26,up,up
2022-05-27,up,up
2022-05-31,down,down
2022-06-01,up,down
2022-06-02,down,down
2022-06-03,down,down
2022-06-06,down,down
2022-06-07,down,down
2022-06-08,down,down
2022-06-09,up,down
2022-06-10,down,up
2022-06-13,up,down
2022-06-14,down,up
2022-06-15,up,up
2022-06-16,down,up
2022-06-17,up,up
2022-06-21,down,up
2022-06-22,up,down
2022-06-23,up,up
2022-06-24,up,up
2022-06-27,down,up
2022-06-28,down,up
2022-06-29,down,up
2022-06-30,up,up
2022-07-01,up,up
2022-07-05,up,up
2022-07-06,up,up
2022-07-07,up,up
2022-07-08,up,up
2022-07-11,down,up
2022-07-12,up,up
2022-07-13,up,up
2022-07-14,up,up
2022-07-15,down,up
2022-07-18,up,up
2022-07-19,up,up
2022-07-20,up,up
2022-07-21,down,up
2022-07-22,up,up
2022-07-25,down,up
2022-07-26,up,down
2022-07-27,up,up
2022-07-28,up,up
2022-07-29,up,up
2022-08-01,up,up
2022-08-02,down,up
2022-08-03,down,up
2022-08-04,up,up
2022-08-05,up,up
2022-08-08,up,up
2022-08-09,up,up
2022-08-10,up,up
2022-08-11,up,up
2022-08-12,up,up
2022-08-15,up,up
2022-08-16,up,up
2022-08-17,down,down
2022-08-18,down,up
2022-08-19,down,up
2022-08-22,down,down
2022-08-23,up,up
2022-08-24,up,up
2022-08-25,down,up
2022-08-26,up,up
2022-08-29,down,up
2022-08-30,up,up
2022-08-31,up,up
2022-09-01,down,up
2022-09-02,down,down
2022-09-06,up,down
2022-09-07,up,up
2022-09-08,up,down
2022-09-09,up,up
2022-09-12,down,up
2022-09-13,down,up
2022-09-14,down,up
2022-09-15,up,up
2022-09-16,up,up
2022-09-19,down,up
2022-09-20,up,up
2022-09-21,down,up
2022-09-22,down,up
2022-09-23,up,up
2022-09-26,down,up
2022-09-27,up,up
2022-09-28,down,up
2022-09-29,down,up
2022-09-30,up,up
2022-10-03,up,up
2022-10-04,down,up
2022-10-05,down,up
2022-10-06,down,up
2022-10-07,up,up
2022-10-10,up,up
2022-10-11,down,up
2022-10-12,up,down
2022-10-13,down,down
2022-10-14,up,up
2022-10-17,up,up
2022-10-18,down,up
2022-10-19,up,up
2022-10-20,down,up
2022-10-21,up,up
2022-10-24,up,up
2022-10-25,up,up
2022-10-26,down,down
2022-10-27,up,up
2022-10-28,down,up
2022-10-31,down,down
2022-11-01,down,down
2022-11-02,down,down
2022-11-03,up,up
2022-11-04,up,up
2022-11-07,up,down
2022-11-08,down,down
2022-11-09,up,down
2022-11-10,up,up
2022-11-11,down,up
2022-11-14,up,down
2022-11-15,up,up
2022-11-16,down,down
2022-11-17,up,down
2022-11-18,up,up
2022-11-21,up,down
2022-11-22,up,up
2022-11-23,up,up
2022-11-25,up,up
2022-11-28,down,down
2022-11-29,down,down
2022-11-30,up,down
2022-12-01,down,down
2022-12-02,down,down
2022-12-05,down,down
2022-12-06,down,down
2022-12-07,down,up
2022-12-08,down,up
2022-12-09,up,up
2022-12-12,down,down
2022-12-13,down,down
2022-12-14,down,down
2022-12-15,down,down
2022-12-19,up,up
2022-12-20,up,down
2022-12-21,down,down
2022-12-22,up,down
2022-12-23,up,up
2022-12-27,down,down
2022-12-28,up,down
2022-12-29,down,up
2022-12-30,up,up
2023-01-03,up,down
2023-01-04,down,down
2023-01-05,up,down
2023-01-06,down,down
2023-01-09,down,down
2023-01-10,up,down
2023-01-11,down,up
2023-01-12,up,up
2023-01-13,down,up
2023-01-17,down,up
2023-01-18,down,up
2023-01-19,up,up
2023-01-20,up,up
2023-01-23,up,down
2023-01-24,down,down
2023-01-25,down,down
2023-01-26,up,up
2023-01-27,down,up
