time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_14,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,day_of_week,month_of_year,movement
2022-06-22,134.53,137.75,133.9,135.78,55350,1,0,150.16219999999998,158.5542,147.98703374298006,158.5542,136.06221361429004,140.31281269470065,141.2395,154.91406832956744,127.56493167043256,128.36193071940548,138.04,147.7180692805945,-4.682826081834236,-4.371444620132276,42.1,24.35819211421612,16.52037093794188,136.09,-0.2277904328018221,3.341180044042824,2,6,up
2022-06-23,136.56,138.58,135.62,138.09,61844,1,0,149.6134,158.4736,147.59891477266711,158.350576119403,136.46777089143205,140.11073881336424,141.1425,154.8773998904255,127.40760010957456,128.40629289881244,137.3683333333333,146.33037376785418,-4.265548512603829,-4.350265398626586,45.22,34.978422869575546,24.7040617520169,135.78,1.7012814847547464,-0.2277904328018221,3,6,up
2022-06-24,140.64,141.46,139.76,141.13,33489,1,0,149.0784,158.39495,147.34523184040566,158.17922710328955,137.40021671314565,140.20339892124022,141.185,154.91422066251428,127.45577933748572,129.14520938933856,136.72833333333332,144.3114572773281,-3.6475042801571647,-4.209713174932702,49.1,44.00213575143838,34.44625024507668,138.09,2.201462814106736,1.7012814847547464,4,6,up
2022-06-27,142.08,143.08,140.96,141.15,45355,1,0,148.4906,158.32569999999998,147.10228157215445,158.0097820574857,138.15017337051654,140.28945356476385,141.0425,154.71091889173758,127.3740811082624,130.05361724514864,136.17333333333332,142.293049421518,-3.120119148979228,-3.9917943697420073,49.13,53.21778205745469,44.06611355948953,141.13,0.0141713313965841,2.201462814106736,0,6,down
2022-06-28,143.36,143.41,137.32,137.8,52673,1,0,147.9392,158.24435,146.7374862163837,157.80868969870477,138.08013869641326,140.06313960433076,140.475,153.68461392320037,127.26538607679964,130.40439276827144,135.72583333333333,141.04727389839522,-2.938605223993904,-3.781156540592387,45.05,52.75236719627673,49.99076166838992,141.15,-2.3733616719801565,0.0141713313965841,1,6,up
2022-06-29,136.76,140.66,136.69,139.03,60968,1,0,147.4324,158.1948,146.43523185495687,157.62183706488682,138.2701109571306,139.96921782211885,139.9535,152.5104745958176,127.39652540418236,130.39628803113297,135.84,141.28371196886704,-2.6647854226635843,-3.557882317006627,46.79,51.00092191183792,52.3236903885231,137.8,0.8925979680696638,-2.3733616719801565,2,6,down
2022-06-30,136.95,138.35,133.77,136.03,61024,1,0,146.8064,158.12865,146.02718354691936,157.40699291498746,137.8220887657045,139.61110711101713,139.3055,151.25309804312187,127.35790195687812,131.03989026589983,136.18416666666667,141.3284430674335,-2.6592025535567814,-3.378146364316658,43.19,47.792507243379696,50.515265450498106,139.03,-2.1578076674099167,0.8925979680696638,3,6,up
2022-07-01,136.73,138.72,135.67,138.56,62133,1,0,146.234,158.0807,145.7343528195892,157.21946064717665,137.9696710125636,139.51555191910649,138.6845,149.36414882381484,128.00485117618518,131.6626733419021,136.65833333333333,141.65399332476457,-2.422700846381275,-3.1870572607295817,46.9,55.841422249041536,51.54495046808637,136.03,1.8598838491509229,-2.1578076674099167,4,7,up
2022-07-05,137.24,141.48,137.04,141.3,66272,1,0,145.723,158.0419,145.5604566305857,157.0610580536724,138.6357368100509,139.677774471915,138.4785,148.78286465775594,128.17413534224406,131.8922816504148,137.17666666666665,142.4610516829185,-1.991222861028604,-2.9478903807893864,50.67,66.66666666666676,56.76686538636266,138.56,1.977482678983833,1.8598838491509229,1,7,up
2022-07-06,142.16,144.11,141.07,142.5,69903,1,0,145.33440000000002,158.01045,145.44043872350392,156.91617190388462,139.40858944804074,139.93434042901364,138.296,148.17075650332754,128.42124349667245,133.85238467412836,138.26250000000002,142.67261532587167,-1.5347518142590957,-2.6652626674833284,52.26,80.25321597080037,67.58710162883621,141.3,0.849256900212314,1.977482678983833,2,7,up
